,Unnamed: 0,Year,T_Anomaly,Snow_Percent,Snow_Decimals,Chlorophyll
80,80,2056,7.285732527,25%,0.248777698,0.260222612
81,81,2057,7.3792930110000015,24%,0.244649725,0.257733394
82,82,2058,7.472853495,24%,0.240593573,0.255267986
83,83,2059,7.566413978,24%,0.23660792,0.25282616199999997
84,84,2060,7.659974462,23%,0.23269147,0.250407696
85,85,2061,7.753534946,23%,0.228842951,0.24801236399999999
86,86,2062,7.84709543,23%,0.225061119,0.24563994600000003
87,87,2063,7.940655914,22%,0.221344752,0.24329022100000003
88,88,2064,8.034216398,22%,0.217692651,0.240962973
89,89,2065,8.127776882000001,21%,0.214103641,0.238657987
90,90,2066,8.221337366,21%,0.210576572,0.23637504899999998
91,91,2067,8.314897849,21%,0.207110314,0.23411395
92,92,2068,8.408458332999999,20%,0.203703759,0.23187448
93,93,2069,8.502018817,20%,0.200355821,0.229656432
94,94,2070,8.595579301,20%,0.197065435,0.227459601
95,95,2071,8.689139785,19%,0.193831556,0.225283784
96,96,2072,8.782700269,19%,0.19065316,0.22312878100000003
97,97,2073,8.876260753,19%,0.187529243,0.22099439199999998
98,98,2074,8.969821237,18%,0.184458818,0.21888042
99,99,2075,9.06338172,18%,0.18144092,0.216786669
100,100,2076,9.156942204,18%,0.1784746,0.214712947
101,101,2077,9.250502688,18%,0.17555892899999995,0.21265906199999998
102,102,2078,9.344063172,17%,0.172692995,0.21062482300000002
103,103,2079,9.437623656,17%,0.169875903,0.208610043
104,104,2080,9.53118414,17%,0.16710677599999998,0.20661453600000002
105,105,2081,9.624744624,16%,0.164384753,0.204638118
106,106,2082,9.718305108,16%,0.16170899,0.202680606
107,107,2083,9.811865591,16%,0.159078659,0.20074181800000002
108,108,2084,9.905426075,16%,0.156492947,0.198821577
109,109,2085,9.998986559,15%,0.153951057,0.19691970399999997
110,110,2086,10.09254704,15%,0.151452207,0.195036023
111,111,2087,10.18610753,15%,0.14899563,0.19317036199999998
112,112,2088,10.27966801,15%,0.14658057300000002,0.19132254699999998
113,113,2089,10.37322849,14%,0.144206298,0.189492407
114,114,2090,10.46678898,14%,0.14187208,0.187679775
115,115,2091,10.56034946,14%,0.139577209,0.18588448100000002
116,116,2092,10.65390995,14%,0.137320986,0.18410636100000002
117,117,2093,10.74747043,14%,0.135102727,0.182345249
118,118,2094,10.84103091,13%,0.132921761,0.180600984
119,119,2095,10.9345914,13%,0.130777429,0.178873405
120,120,2096,11.02815188,13%,0.128669085,0.17716235
121,121,2097,11.12171237,13%,0.126596092,0.175467664
122,122,2098,11.21527285,12%,0.12455783,0.173789188
123,123,2099,11.30883333,12%,0.122553687,0.172126768
124,124,2100,11.40239382,12%,0.120583063,0.17048025
